Row	Col.	Element
1	1	-0.95636
2	1	0.12199
3	1	0.04070
4	1	0.09397
5	1	0.01099
6	1	0.01097
7	1	0.08268
8	1	0.04961
9	1	-0.02143
10	1	-0.04071
11	1	0.02627
12	1	-0.02460
13	1	0.00308
14	1	0.03498
15	1	0.00251
16	1	-0.02823
17	1	-0.00470
18	1	0.02923
19	1	-0.00093
20	1	-0.00458
21	1	0.00597
22	1	-0.00907
23	1	-0.00979
24	1	0.00412
25	1	0.00423
26	1	-0.00353
27	1	0.00315
28	1	0.01016
29	1	-0.00557
30	1	-0.01276
31	1	-0.00296
32	1	0.00094
33	1	-0.00219
34	1	0.00197
35	1	-0.00034
36	1	0.00110
37	1	0.00014
38	1	0.00401
39	1	0.00006
40	1	0.00069
41	1	-0.00025
42	1	0.00190
43	1	0.00615
44	1	0.00179
45	1	-0.00569
46	1	0.00807
47	1	0.00442
48	1	0.01442
49	1	-0.00030
50	1	-0.00472
51	1	0.00003
52	1	0.00005
53	1	-0.00178
54	1	0.00079
55	1	0.00681
56	1	-0.00748
57	1	0.00296
58	1	0.00713
59	1	0.00934
60	1	0.01188
61	1	0.00087
62	1	0.01107
63	1	0.00020
64	1	0.00715
65	1	-0.00366
66	1	-0.01237
67	1	0.00061
68	1	-0.00111
69	1	0.00918
70	1	0.00672
71	1	0.00139
72	1	0.00333
73	1	0.00300
74	1	-0.00919
75	1	-0.00766
76	1	-0.00011
77	1	-0.00011
78	1	0.00002
79	1	-0.00012
80	1	-0.00001
81	1	0.00018
82	1	0.00020
83	1	0.00007
84	1	-0.00015
85	1	0.00034
86	1	0.00021
87	1	0.00010
88	1	-0.00027
1	2	-0.08519
2	2	-0.95812
3	2	0.01706
4	2	0.03113
5	2	0.00365
6	2	-0.00010
7	2	0.00307
8	2	0.00040
9	2	0.00896
10	2	0.00846
11	2	0.00262
12	2	0.01428
13	2	0.00182
14	2	-0.00413
15	2	0.00987
16	2	-0.00251
17	2	-0.00080
18	2	0.00156
19	2	0.00213
20	2	-0.00053
21	2	0.00324
22	2	0.00185
23	2	0.00132
24	2	0.01466
25	2	0.00146
26	2	-0.00199
27	2	0.00050
28	2	0.01225
29	2	-0.00393
30	2	-0.00358
31	2	-0.00140
32	2	-0.00057
33	2	-0.00100
34	2	-0.00007
35	2	0.00041
36	2	-0.00023
37	2	0.00045
38	2	-0.00171
39	2	0.00004
40	2	-0.00161
41	2	-0.00006
42	2	0.00680
43	2	-0.00053
44	2	0.00155
45	2	-0.00135
46	2	0.00336
47	2	-0.00052
48	2	0.00457
49	2	0.00011
50	2	-0.00942
51	2	0.00138
52	2	-0.00012
53	2	-0.00225
54	2	-0.00122
55	2	0.00442
56	2	-0.00516
57	2	-0.00054
58	2	0.00026
59	2	0.00026
60	2	-0.00212
61	2	-0.00002
62	2	-0.00373
63	2	0.00462
64	2	0.00523
65	2	-0.00034
66	2	-0.00058
67	2	-0.00040
68	2	-0.00075
69	2	-0.00492
70	2	0.00185
71	2	0.00141
72	2	-0.00215
73	2	0.00681
74	2	0.00470
75	2	0.00295
76	2	-0.00001
77	2	0.00002
78	2	0.00004
79	2	0.00001
80	2	-0.00002
81	2	-0.00008
82	2	-0.00014
83	2	0.00007
84	2	0.00003
85	2	0.00005
86	2	-0.00019
87	2	0.00000
88	2	0.00007
1	3	-0.00337
2	3	0.06651
3	3	1.04173
4	3	0.07934
5	3	0.03203
6	3	0.00774
7	3	0.00546
8	3	-0.00062
9	3	0.01656
10	3	0.01086
11	3	0.00864
12	3	0.02373
13	3	0.00795
14	3	0.00613
15	3	0.00663
16	3	-0.01056
17	3	-0.00218
18	3	0.00464
19	3	-0.01195
20	3	-0.00039
21	3	0.00928
22	3	0.00766
23	3	0.00113
24	3	0.01301
25	3	0.00333
26	3	-0.01646
27	3	-0.00753
28	3	0.03814
29	3	-0.00465
30	3	-0.00244
31	3	-0.00016
32	3	-0.00270
33	3	-0.00352
34	3	0.00127
35	3	-0.00031
36	3	-0.00083
37	3	0.00001
38	3	-0.00441
39	3	-0.00281
40	3	-0.01007
41	3	0.00017
42	3	0.00649
43	3	0.00568
44	3	0.00559
45	3	-0.00879
46	3	0.00882
47	3	-0.00020
48	3	0.00925
49	3	-0.00167
50	3	-0.01142
51	3	0.00081
52	3	0.00091
53	3	0.00066
54	3	-0.00273
55	3	0.00516
56	3	-0.00142
57	3	-0.00009
58	3	0.00324
59	3	0.00078
60	3	0.00050
61	3	-0.00052
62	3	-0.00069
63	3	0.00698
64	3	0.00363
65	3	-0.00179
66	3	-0.00250
67	3	-0.00123
68	3	-0.00011
69	3	-0.00407
70	3	0.00130
71	3	0.00100
72	3	-0.00133
73	3	0.00376
74	3	-0.00216
75	3	0.00287
76	3	-0.00005
77	3	0.00015
78	3	0.00004
79	3	-0.00002
80	3	-0.00014
81	3	-0.00011
82	3	0.00000
83	3	0.00030
84	3	-0.00005
85	3	0.00016
86	3	0.00010
87	3	-0.00005
88	3	0.00031
1	4	0.00720
2	4	-0.01778
3	4	-0.01548
4	4	1.01132
5	4	0.03722
6	4	-0.04201
7	4	0.07052
8	4	0.03721
9	4	0.03337
10	4	-0.06577
11	4	-0.01042
12	4	0.02733
13	4	-0.02824
14	4	-0.01697
15	4	-0.00439
16	4	-0.01465
17	4	-0.00213
18	4	0.00379
19	4	0.01271
20	4	0.00095
21	4	0.00043
22	4	0.00047
23	4	-0.00557
24	4	-0.00390
25	4	-0.00159
26	4	-0.00765
27	4	-0.00349
28	4	0.01199
29	4	-0.00408
30	4	-0.00611
31	4	-0.00124
32	4	-0.00115
33	4	-0.00110
34	4	0.00007
35	4	-0.00008
36	4	-0.00199
37	4	0.00011
38	4	0.00050
39	4	-0.00019
40	4	-0.00084
41	4	-0.00017
42	4	0.00390
43	4	0.00396
44	4	0.00274
45	4	-0.00378
46	4	0.00384
47	4	0.00034
48	4	0.00087
49	4	-0.00036
50	4	-0.00458
51	4	0.00007
52	4	-0.00072
53	4	-0.00103
54	4	0.00044
55	4	0.00340
56	4	-0.00273
57	4	0.00208
58	4	-0.00093
59	4	0.00023
60	4	0.00410
61	4	-0.00043
62	4	0.00616
63	4	0.00420
64	4	0.00330
65	4	-0.00050
66	4	-0.00107
67	4	0.00058
68	4	0.00010
69	4	0.00434
70	4	0.00516
71	4	0.00058
72	4	0.00023
73	4	0.00090
74	4	-0.00067
75	4	0.00041
76	4	-0.00001
77	4	-0.00006
78	4	-0.00002
79	4	-0.00001
80	4	-0.00001
81	4	-0.00002
82	4	0.00012
83	4	0.00004
84	4	-0.00002
85	4	-0.00003
86	4	-0.00002
87	4	0.00004
88	4	0.00010
1	5	0.03864
2	5	0.05063
3	5	0.00814
4	5	-0.01794
5	5	0.95638
6	5	-0.11773
7	5	-0.22074
8	5	-0.08679
9	5	-0.25790
10	5	-0.00674
11	5	-0.04756
12	5	-0.00522
13	5	0.01895
14	5	-0.00353
15	5	0.01076
16	5	0.01152
17	5	-0.00066
18	5	0.00164
19	5	-0.02732
20	5	-0.00063
21	5	0.00258
22	5	-0.00689
23	5	0.00770
24	5	-0.00183
25	5	-0.00402
26	5	0.00117
27	5	-0.00351
28	5	-0.00629
29	5	-0.00308
30	5	-0.01092
31	5	-0.00102
32	5	0.00201
33	5	-0.00082
34	5	-0.00073
35	5	-0.00039
36	5	0.00268
37	5	0.00018
38	5	0.00122
39	5	0.00048
40	5	0.00268
41	5	-0.00040
42	5	-0.00056
43	5	0.00035
44	5	-0.00148
45	5	-0.00128
46	5	-0.00577
47	5	0.00349
48	5	-0.00466
49	5	0.00109
50	5	0.00110
51	5	0.00008
52	5	0.00055
53	5	0.00018
54	5	0.00065
55	5	0.00035
56	5	-0.00365
57	5	0.00251
58	5	0.00162
59	5	0.00192
60	5	-0.00182
61	5	-0.00042
62	5	-0.00512
63	5	0.00693
64	5	-0.00250
65	5	-0.00023
66	5	-0.00237
67	5	-0.00014
68	5	-0.00046
69	5	-0.00298
70	5	-0.00547
71	5	-0.00071
72	5	0.00084
73	5	-0.00112
74	5	-0.00254
75	5	-0.00340
76	5	-0.00001
77	5	-0.00003
78	5	-0.00009
79	5	-0.00002
80	5	-0.00000
81	5	0.00011
82	5	0.00007
83	5	-0.00008
84	5	-0.00011
85	5	0.00007
86	5	0.00003
87	5	0.00002
88	5	-0.00021
1	6	0.00609
2	6	0.00033
3	6	-0.00162
4	6	0.04667
5	6	0.11584
6	6	0.99105
7	6	-0.01162
8	6	0.00464
9	6	-0.02188
10	6	-0.03473
11	6	-0.02644
12	6	0.00931
13	6	-0.00145
14	6	0.00085
15	6	-0.00082
16	6	-0.00174
17	6	-0.00069
18	6	0.00201
19	6	0.00105
20	6	0.00206
21	6	0.00116
22	6	-0.00212
23	6	0.00106
24	6	0.00125
25	6	0.00089
26	6	-0.00111
27	6	-0.00182
28	6	0.00278
29	6	-0.00055
30	6	-0.00169
31	6	0.00173
32	6	0.00021
33	6	-0.00045
34	6	-0.00128
35	6	-0.00011
36	6	0.00031
37	6	-0.00062
38	6	-0.00006
39	6	-0.00012
40	6	-0.00021
41	6	-0.00021
42	6	0.00003
43	6	0.00083
44	6	0.00015
45	6	-0.00049
46	6	0.00094
47	6	0.00022
48	6	0.00063
49	6	-0.00125
50	6	-0.00180
51	6	0.00010
52	6	0.00031
53	6	-0.00021
54	6	0.00052
55	6	0.00071
56	6	-0.00083
57	6	0.00120
58	6	0.00089
59	6	0.00031
60	6	0.00109
61	6	-0.00023
62	6	0.00140
63	6	0.00054
64	6	0.00125
65	6	0.00012
66	6	-0.00069
67	6	0.00039
68	6	-0.00008
69	6	0.00068
70	6	0.00069
71	6	0.00021
72	6	-0.00005
73	6	0.00091
74	6	-0.00005
75	6	-0.00010
76	6	-0.00000
77	6	0.00005
78	6	0.00002
79	6	-0.00000
80	6	0.00003
81	6	-0.00001
82	6	0.00000
83	6	0.00001
84	6	0.00011
85	6	0.00001
86	6	0.00000
87	6	-0.00002
88	6	0.00001
1	7	-0.02649
2	7	0.01737
3	7	0.00839
4	7	0.02731
5	7	-0.07612
6	7	0.00416
7	7	-0.86907
8	7	-0.26581
9	7	0.44252
10	7	0.00758
11	7	0.06319
12	7	-0.05764
13	7	-0.04623
14	7	-0.03803
15	7	0.00826
16	7	0.01941
17	7	-0.00157
18	7	-0.00526
19	7	-0.01559
20	7	-0.00017
21	7	-0.00249
22	7	0.00474
23	7	-0.01198
24	7	-0.00443
25	7	0.00462
26	7	0.00444
27	7	-0.00374
28	7	-0.01221
29	7	0.00071
30	7	-0.00051
31	7	0.00023
32	7	-0.00348
33	7	0.00132
34	7	0.00106
35	7	0.00018
36	7	0.00053
37	7	-0.00018
38	7	0.00048
39	7	0.00052
40	7	0.00165
41	7	0.00027
42	7	-0.00495
43	7	-0.00301
44	7	-0.00276
45	7	0.00325
46	7	-0.00488
47	7	0.00314
48	7	-0.00736
49	7	0.00143
50	7	0.00580
51	7	-0.00043
52	7	-0.00069
53	7	0.00095
54	7	0.00117
55	7	-0.00244
56	7	0.00190
57	7	-0.00084
58	7	-0.00205
